location_type, parent_station, stop_id, stop_code, stop_name, stop_desc, stop_lat, stop_lon, zone_id, supported_modes
0,,17909,17909,Connolly Dr After Macnaughton Cr,,-31.71321896,115.737395,4,Bus
0,,17910,17910,Connolly Dr After Selkirk Dr,,-31.71999448,115.7410579,4,Bus
0,,17911,17911,Connolly Dr Before Burns Beach Rd,Connolly Dr / Burns Beach Rd,-31.72302415,115.7421512,4,Bus
0,,17917,17917,Hodges Dr After Saint Michaels Av,,-31.75534138,115.7554885,3,Bus;School Bus
0,,17918,17918,Hodges Dr After Caridean St,,-31.75462016,115.7512869,3,Bus;School Bus
0,,17919,17919,Hodges Dr After Chantilly Wy,Hodges Dr / Chantilly Wy,-31.75534136,115.7440059,3,Bus;School Bus
0,,17920,17920,Hodges Dr After Constellation Dr,,-31.75809807,115.7377169,3,Bus;School Bus
0,,17921,17921,Hodges Dr After Venturi Dr,,-31.75806308,115.7373997,3,Bus;School Bus
0,,17922,17922,Hodges Dr After Chantilly Wy,Hodges Dr / Chantilly Wy,-31.75454666,115.7458367,3,Bus;School Bus
0,,17923,17923,Hodges Dr After Country Club Bvd,,-31.75421462,115.7507807,3,Bus;School Bus
0,,17924,17924,Hodges Dr After Caridean St,Hodges Dr / St Michaels Av,-31.75493984,115.7550353,3,Bus;School Bus
0,,17925,17925,Caridean St After Hodges Dr,,-31.75580905,115.7536219,3,Bus
0,,17926,17926,Caridean St After Lysander Dr,,-31.7578339,115.7537439,3,Bus
0,,17927,17927,Caridean St After Poseidon Rd,,-31.759379,115.7569057,3,Bus
0,,17928,17928,Caridean St After Roamer St,,-31.75917278,115.7594911,3,Bus
0,,17929,17929,Caridean St After Lysander Dr,,-31.75917146,115.7626948,3,Bus
0,,17930,17930,Caridean St Before Dardanus Wy,,-31.76016999,115.7656375,3,Bus
0,,17931,17931,Caridean St After Balmain Wy,,-31.76205911,115.7675003,3,Bus
0,,17932,17932,Caridean St Before Littorina Av,,-31.76451672,115.7688154,3,Bus
0,,17933,17933,Caridean St Afterlittorina Av,,-31.76431332,115.7684558,3,Bus
0,,17934,17934,Caridean St After Veliger Ct,,-31.76219522,115.7674568,3,Bus
0,,17935,17935,Caridean St After Dardanus Wy,,-31.76033546,115.7657125,3,Bus
0,,17936,17936,Caridean St After Admiral Gr,,-31.75936565,115.763058,3,Bus
0,,17937,17937,Caridean St After Lysander Dr,,-31.75917986,115.7606762,3,Bus
0,,17938,17938,Caridean St After Roamer St,,-31.75945523,115.7572425,3,Bus
0,,17939,17939,Caridean St After Poseidon Rd,,-31.75800722,115.7537097,3,Bus
0,,17940,17940,Caridean St After Ord Rd,,-31.75560492,115.7535478,3,Bus
0,,17941,17941,Poseidon Rd After Caridean St,,-31.75909612,115.7533019,3,Bus
0,,17942,17942,Poseidon Rd After Larkspur Pl,,-31.7607285,115.752505,3,Bus
0,,17943,17943,Poseidon Rd After Channel Dr,,-31.76316506,115.7546045,3,Bus
0,,17944,17944,Poseidon Rd After Penguin Cl,,-31.76354153,115.7547342,3,Bus
0,,17945,17945,Poseidon Rd After Mermaid Wy,,-31.76200107,115.7529002,3,Bus
0,,17946,17946,Poseidon Rd After Prince Regent Dr,,-31.75909404,115.7531125,3,Bus
0,,17947,17947,Constellation Dr After Naval Pde,,-31.75575955,115.7373813,3,Bus
0,,17948,17948,Constellation Dr After Prendiville Av,,-31.75286835,115.7359237,3,Bus
0,,17949,17949,Constellation Dr Before Resolute Dr,,-31.75069048,115.7329207,3,Bus
0,,17950,17950,Constellation Dr After Resolute Wy,,-31.74847779,115.7324589,3,Bus
0,,17951,17951,Constellation Dr After Tarolinta Gdns,,-31.74714794,115.7324536,4,Bus
0,,17952,17952,Constellation Dr After Bacchante Cir,,-31.74468818,115.7310086,4,Bus
0,,17953,17953,Constellation Dr After Shenton Av,,-31.7441047,115.7311844,4,Bus
0,,17954,17954,Constellation Dr After Beaumaris Bvd,,-31.74670475,115.7324031,4,Bus
0,,17955,17955,Constellation Dr Before Tarolinta Gdns,,-31.74874739,115.7325592,3,Bus
0,,17956,17956,Constellation Dr Beaumaris Shopping Centre,,-31.75147626,115.7341959,3,Bus
0,,17957,17957,Constellation Dr Before Prendiville Av,,-31.75253063,115.7357514,3,Bus
0,,17958,17958,Constellation Dr Before Hodges Dr,,-31.75628267,115.7381204,3,Bus;School Bus
0,,17959,17959,Access Rd Prendiville Catholic College,Prendiville Catholic College,-31.75305191,115.7379128,3,Bus
0,,17960,17960,Marmion Av After Parnell Av,,-31.84221307,115.7626019,2,Bus;School Bus
0,,17961,17961,Marmion Av Before Freeman Wy,Marmion Av / Freeman Wy,-31.83812295,115.7636722,2,Bus;School Bus
0,,17963,17963,Marmion Av After Warwick Rd,Marmion Av / Warwick Rd,-31.83385284,115.7640872,2,Bus
0,,17964,17964,Marmion Av After Marri Rd,,-31.83096733,115.7633421,2,Bus
0,,17965,17965,Marmion Av Before Seacrest Dr,,-31.82905443,115.7626706,2,Bus
0,,17966,17966,Marmion Av After Seacrest Dr,,-31.82620456,115.7616428,3,Bus;School Bus
0,,17967,17967,Marmion Av After Readshaw Rd,,-31.82421799,115.7611192,3,Bus
0,,17968,17968,Marmion Av After Harman Rd,,-31.82176759,115.7608598,3,Bus
0,,17969,17969,Marmion Av After Gilbert Rd,,-31.81878116,115.760575,3,Bus
0,,17976,17976,Marmion Av After Banks Av,Whitfords Shopping Ctr / Marmion Av,-31.79760091,115.7537339,3,Bus
0,,17977,17977,Marmion Av After Whitfords Av,,-31.79461544,115.7539541,3,Bus
0,,17978,17978,Marmion Av After Cygnet St,,-31.79172205,115.7544431,3,Bus
0,,17979,17979,Marmion Av After Gunter Gr,Marmion Av / Gunter Gr,-31.77733171,115.7542811,3,Bus
0,,17980,17980,Marmion Av After Linear Av,,-31.77400258,115.7539172,3,Bus
0,,17981,17981,Marmion Av Before Marina Bvd,,-31.76871829,115.7506507,3,Bus
0,,17982,17982,Marmion Av After Marina Bvd,,-31.76591549,115.749616,3,Bus
0,,17983,17983,Marmion Av After Mermaid Wy,,-31.76257554,115.7484791,3,Bus
0,,17984,17984,Marmion Av After Windlass Av,,-31.75906333,115.7443925,3,Bus
0,,17985,17985,Marmion Av Before Hodges Dr,,-31.75737286,115.7424683,3,Bus
0,,17986,17986,Marmion Av After Prendiville Av,,-31.75207598,115.7409454,3,Bus;School Bus
0,,17987,17987,Marmion Av After Diablo Wy,,-31.74886915,115.7396183,3,Bus;School Bus
0,,17988,17988,Marmion Av After Santiago Pwy,,-31.74485599,115.7382159,4,Bus;School Bus
0,,17989,17989,Marmion Av After Miami Beach Prom,,-31.72884739,115.7360489,4,Bus;School Bus
0,,17990,17990,Marmion Av After Burns Beach Rd,,-31.72553841,115.7343409,4,Bus;School Bus
0,,17991,17991,Marmion Av After Grand Ocean Ent,,-31.72090224,115.7304597,4,Bus;School Bus
0,,17992,17992,Marmion Av Before Kinross Dr,Marmion Av / Kinross Dr,-31.71646412,115.7259638,4,Bus;School Bus
0,,17993,17993,Marmion Av Tamala Park Disposal Site,,-31.70861269,115.7223689,4,Bus;School Bus
0,,17994,17994,Marmion Av After Anchorage Dr,,-31.69292065,115.7157214,4,Bus;School Bus
