SSC_CODE_2016,Suburb,Suburb (Original),Postcode,Suburb sqkm,Median Age (Persons),Median Mortgage Repayments (Monthly),Median Total Personal Income (Weekly),Median Rent (Weekly),Median Total Family Income (Weekly),Average Number of Persons per Bedroom,Median Total Household Income (Weekly),Average Household Size,People (0-14 year),People (15-24 year),People (25-34 year),People (35-44 year),People (45-54 year),People (55-64 year),People (65-74 year),People (75-84 year),People (85 and over year),Total Number of People,Unemployment Rate (%)
SSC50069,Banksia Grove,Banksia Grove,6031,4.7182,28,2058,803,370,1822,0.8,1713,3,2537,1320,2262,1426,903,486,176,59,12,9181,8.9
SSC50070,Banksiadale,Banksiadale,6213,235.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50071,Bannister,Bannister (WA),6390,421.2639,41,2750,1960,214,2624,0.8,2166,2.5,18,37,166,158,159,81,4,3,0,626,0
SSC50072,Barbalin,Barbalin,6479,165.3424,53,0,1375,0,3250,0.6,3125,1,3,0,0,0,0,4,0,0,0,7,0
SSC50073,Barberton,Barberton,6510,111.7453,45,0,900,0,2125,0.7,2062,2,8,3,0,4,0,0,5,3,0,23,0
SSC50074,Barrabup,Barrabup,6275,201.6497,44,0,724,0,1374,0.4,1125,1,5,4,3,3,8,4,3,0,0,30,0
SSC50075,Barragup,Barragup,6209,15.6186,43,2167,580,315,1977,0.8,1842,3.1,185,131,62,122,141,114,90,43,4,892,8.5
SSC50076,Barrow Island,Barrow Island,6712,263.6601,39,0,3000,0,0,0,0,0,0,174,1700,1626,1406,645,43,0,0,5594,0.4
SSC50077,Baskerville,Baskerville,6056,6.651,49,2200,875,455,2416,0.7,2136,2.8,40,48,15,17,59,49,37,13,3,281,8.2
SSC50078,Bassendean,Bassendean (WA),6054,7.2717,39,1956,782,350,2045,0.8,1587,2.4,1856,1108,1475,1520,1440,1164,864,485,235,10147,7.5
SSC50079,Bateman,Bateman,6150,1.9561,40,2167,697,450,2293,0.8,2071,2.9,652,558,413,463,512,446,357,178,97,3676,8.1
SSC50080,Baudin,Baudin,6284,342.2768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50081,Baynton,Baynton (WA),6714,2.6737,29,3117,1454,300,3216,0.8,3091,3.1,1291,471,920,850,568,299,128,35,0,4562,5.4
SSC50082,Bayonet Head,Bayonet Head,6330,5.8452,39,1600,617,315,1489,0.7,1292,2.6,646,344,299,356,344,318,263,162,35,2767,5.9
SSC50083,Bayswater,Bayswater (WA),6053,9.8453,38,2100,825,350,2208,0.8,1705,2.4,2467,1461,2298,2252,1963,1623,1039,671,458,14232,7
SSC50084,Beachlands,Beachlands,6530,1.4166,41,1647,609,200,1453,0.7,1059,2,232,173,193,192,174,194,117,94,43,1412,8.7
SSC50085,Beacon,Beacon,6472,701.9513,42,520,890,75,1875,0.9,1541,2.5,44,9,17,27,31,22,19,6,3,178,5.1
SSC50086,Beaconsfield,Beaconsfield (WA),6162,2.7342,41,2167,689,320,1991,0.8,1483,2.4,857,493,644,663,705,597,454,332,110,4855,8.1
SSC50087,Beadell,Beadell,6440,73217.3881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50088,Beaufort River,Beaufort River,6394,172.4845,37,300,933,0,1875,0.7,1666,1.9,14,3,12,11,4,9,4,0,0,57,0
SSC50089,Beaumont,Beaumont (WA),6450,1752.9488,42,0,1075,0,2249,1,2249,2.9,9,0,9,6,4,6,4,0,0,38,0
SSC50090,Beckenham,Beckenham,6107,5.8449,33,1800,601,350,1451,0.8,1339,2.7,1388,986,1530,1077,784,697,567,268,86,7383,10.2
SSC50091,Bedford,Bedford,6052,2.2804,37,2167,786,375,2097,0.8,1779,2.6,1020,629,808,848,741,573,376,248,93,5336,6.2
SSC50092,Bedfordale,Bedfordale,6112,54.2646,39,2500,803,350,2293,0.8,2256,3.1,605,364,250,412,440,367,225,88,17,2768,6
SSC50093,Beechboro,Beechboro,6063,4.736,37,1668,572,350,1501,0.8,1335,2.8,1765,1202,1256,1177,1244,1215,676,265,96,8896,10
SSC50094,Beechina,Beechina,6556,9.5788,43,2000,586,0,1843,0.8,1674,2.7,36,17,15,14,30,19,14,8,3,156,6.3
SSC50095,Beedelup,Beedelup,6260,162.0607,52,0,575,40,1312,0.7,1062,2.2,3,6,13,9,19,18,10,3,0,81,0
SSC50096,Beela,Beela,6224,22.4521,56,0,649,0,2249,1,1749,2.3,3,3,0,0,3,3,5,3,0,20,0
SSC50097,Beelerup,Beelerup,6239,27.2042,51,1304,428,275,974,0.7,924,2.6,17,19,12,6,21,26,11,4,0,116,11.3
SSC50098,Beeliar,Beeliar,6164,11.4181,33,2167,859,400,2192,0.8,2045,2.9,1769,917,1259,1255,1017,613,313,123,26,7292,7.2
SSC50099,Beenong,Beenong,6353,265.7705,55,0,575,0,1749,0.6,1375,2,3,0,0,3,3,3,3,0,0,15,0
SSC50100,Beermullah,Beermullah,6503,201.7454,38,1300,732,0,2042,0.7,1625,2.7,15,16,23,19,10,15,10,5,4,117,0
SSC50101,Bejoording,Bejoording,6566,88.74,45,1733,591,250,1775,0.8,1437,2.5,38,12,12,16,37,29,15,3,0,162,11.1
SSC50102,Beldon,Beldon,6027,2.1936,34,2000,770,375,1950,0.7,1669,2.6,795,470,687,566,482,490,220,105,39,3854,7.9
SSC50103,Belhus,Belhus,6069,4.0356,50,2000,643,725,1875,0.7,1949,2.9,49,29,10,28,42,51,28,16,5,258,5.5
SSC50104,Bellevue,Bellevue (WA),6056,3.0572,39,1538,621,315,1428,0.7,1195,2.3,262,183,201,195,215,229,122,49,21,1477,13.1
SSC50105,Belmont,Belmont (WA),6104,4.3735,34,1950,731,350,1801,0.8,1456,2.4,994,909,1492,1018,779,700,473,281,152,6798,8.4
SSC50106,Bencubbin,Bencubbin,6477,688.4893,41,510,591,60,1196,0.6,1073,2.3,55,14,30,38,33,28,17,11,3,229,3.4
SSC50107,Benger,Benger,6223,70.7741,38,2167,579,200,1333,0.7,1194,2.6,45,28,29,28,40,19,20,10,0,219,3.4
SSC50108,Benjaberring,Benjaberring,6463,174.9271,62,0,833,0,1937,0.6,1812,2,0,0,0,4,3,0,3,3,0,13,0
SSC50109,Benjinup,Benjinup,6255,284.4539,47,1500,697,0,1687,0.6,1218,2.5,27,13,8,20,23,20,18,9,0,138,5.6
SSC50110,Bennett Springs,Bennett Springs,NOT FOUND,4.4286,31,2011,647,420,1754,0.9,1843,3.5,1326,807,815,882,709,422,210,57,13,5241,9
SSC50111,Bentley,Bentley (WA),6102,5.3772,31,1733,428,300,1224,0.8,863,2.3,727,2324,1933,849,578,505,543,634,691,8784,17.4
SSC50112,Beresford,Beresford,6530,1.4745,41,1733,745,258,1793,0.7,1342,2.3,237,191,166,199,221,202,121,83,27,1447,5.4
SSC50113,Berkshire Valley,Berkshire Valley,6510,237.8025,46,0,774,0,1458,0.7,1416,2,4,0,7,0,4,3,0,0,0,18,0
SSC50114,Bernier Island,Bernier Island,6701,41.9105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50115,Bertram,Bertram,6167,3.03,29,1940,791,370,1834,0.8,1761,3.1,1875,722,1288,1165,541,307,147,40,6,6091,10.7
SSC50116,Beverley,Beverley (WA),6304,384.5458,54,1083,493,175,1138,0.7,872,2.1,171,72,95,100,151,208,187,108,38,1130,8.2
SSC50117,Bibra Lake,Bibra Lake,6163,12.7547,42,1842,731,400,2034,0.7,1672,2.6,980,764,646,745,851,787,485,342,143,5743,7.3
SSC50118,Bickley,Bickley,6076,9.8549,47,2435,616,431,2327,0.7,1985,2.7,101,102,32,63,130,103,88,32,11,662,5.5
SSC50119,Bicton,Bicton,6157,3.1224,44,2300,856,385,2394,0.7,1726,2.3,1108,763,672,793,951,802,626,421,300,6436,7.3
SSC50120,Biddelia,Biddelia,6260,163.5161,46,0,425,0,0,0,0,0,3,0,0,0,3,0,4,0,0,10,0
SSC50121,Big Grove,Big Grove,6330,6.8874,59,2300,498,180,1447,0.8,937,1.8,23,9,13,14,27,46,40,18,0,190,4.7
SSC50122,Bilbarin,Bilbarin,6375,182.1386,29,0,899,0,1625,0.5,1625,2,8,6,0,3,0,3,3,0,0,23,0
SSC50123,Bilingurr,Bilingurr,6725,11.7882,30,2800,1117,330,2353,1,2262,2.8,344,136,346,236,148,116,56,14,4,1400,4.8
SSC50124,Bimbijy,Bimbijy,6472,881.2959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50125,Bindi Bindi,Bindi Bindi,6574,408.7722,40,0,866,0,2062,1,1666,3,20,3,4,17,18,7,4,0,0,73,7.5
SSC50126,Bindoon,Bindoon,6502,327.4294,45,1751,500,298,1273,0.8,1064,2.4,230,146,95,120,148,157,167,86,16,1165,6.5
SSC50127,Bindoon Training Area,Bindoon Training Area,6502,137.318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50128,Binduli,Binduli,6430,10.4586,43,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50129,Binningup,Binningup,6233,29.1376,39,1830,727,300,1742,0.7,1404,2.5,284,106,138,170,171,168,125,39,11,1212,6.4
SSC50130,Binnu,Binnu,6532,756.015,41,0,669,50,1343,0.5,1281,2,14,8,11,7,11,6,7,0,0,64,0
SSC50131,Birchmont,Birchmont,6214,7.7831,40,2300,437,0,1562,0.7,1374,3.5,20,12,3,11,9,3,15,0,0,73,0
SSC50132,Bluff Point,Bluff Point,6530,1.4673,51,1733,719,265,1713,0.7,1263,2.1,193,129,106,130,185,198,156,145,90,1332,8.4
SSC50133,Blythewood,Blythewood,6208,42.2749,50,1800,617,200,2083,0.5,1792,2.1,12,3,5,4,10,10,9,0,0,53,0
SSC50134,Boallia,Boallia,6280,37.4565,46,2000,1374,80,2749,0.6,1583,2.3,14,0,0,4,11,9,3,0,0,41,0
SSC50135,Bobalong,Bobalong,6320,169.3467,48,0,749,0,1312,0.6,1312,3,5,0,0,6,6,6,0,0,0,23,0
SSC50136,Bodallin,Bodallin,6424,744.3397,50,0,762,0,1437,1,1125,2.3,5,0,3,8,17,13,3,0,3,52,9.1
SSC50137,Boddington,Boddington,6390,114.6241,38,1733,770,285,2180,0.8,1879,2.6,286,94,140,186,165,154,76,41,12,1154,7
SSC50138,Boilup,Boilup,6394,106.5643,42,0,725,0,1437,1,1375,2.8,6,0,4,9,3,4,0,0,0,26,0
SSC50139,Bokal,Bokal,6392,211.4765,52,0,665,0,1187,0.6,1125,1.7,3,0,4,3,9,13,0,4,0,36,12.5
SSC50140,Bolgart,Bolgart,6568,261.0457,49,501,474,190,1625,0.7,900,2.1,16,23,3,21,41,22,24,5,0,155,6.2
SSC50141,Bonnie Rock,Bonnie Rock,6479,1247.2358,26,0,687,0,1593,1.2,1625,3.6,21,3,4,13,0,3,0,0,0,44,0
SSC50142,Bonniefield,Bonniefield,6525,53.7163,49,1746,659,340,1424,0.8,1333,2.7,31,17,13,24,29,43,21,10,0,188,0
SSC50143,Boodarie,Boodarie,6722,831.7965,31,3567,1142,500,3156,0.8,3125,3.1,43,25,34,27,38,17,4,3,0,191,0
SSC50144,Boodarockin,Boodarockin,6423,322.5608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50145,Bookara,Bookara,6525,141.1364,51,1900,604,170,1375,0.9,1375,2.6,26,12,3,19,15,17,15,5,3,115,0
SSC50146,Boonanarring,Boonanarring,6503,197.5211,31,0,1015,175,2124,0.8,1749,3.1,16,0,5,8,4,4,3,0,0,40,0
