SSC_CODE_2016,Suburb,Suburb (Original),Postcode,Suburb sqkm,Median Age (Persons),Median Mortgage Repayments (Monthly),Median Total Personal Income (Weekly),Median Rent (Weekly),Median Total Family Income (Weekly),Average Number of Persons per Bedroom,Median Total Household Income (Weekly),Average Household Size,People (0-14 year),People (15-24 year),People (25-34 year),People (35-44 year),People (45-54 year),People (55-64 year),People (65-74 year),People (75-84 year),People (85 and over year),Total Number of People,Unemployment Rate (%)
SSC50560,Gnarabup,Gnarabup,6285,2.3983,37,1700,840,420,2229,0.8,2047,2.9,114,57,67,78,106,94,36,15,0,567,2.3
SSC50561,Gnoorea,Gnoorea,6714,13.5807,68,0,543,0,0,1.5,725,1.5,0,0,0,0,3,30,48,5,0,86,0
SSC50562,Gnowangerup,Gnowangerup,6335,3.7885,34,800,620,160,1458,0.7,1195,2.6,125,69,104,67,63,89,46,20,9,592,6.5
SSC50563,Gnowellen,Gnowellen,6328,360.3049,35,0,866,0,1749,0.4,1312,1.5,3,0,3,3,3,8,3,0,0,23,0
SSC50564,Golden Bay,Golden Bay,6174,4.4148,31,1983,743,350,1910,0.8,1697,2.8,977,539,580,547,463,255,147,89,16,3613,9.3
SSC50565,Goode Beach,Goode Beach,6330,1.1654,60,2100,601,390,1625,0.6,1375,2.1,21,6,13,15,31,54,60,15,5,220,4.2
SSC50566,Goodlands,Goodlands,6468,2116.3589,44,0,550,0,1187,0.7,1083,2.4,9,3,3,5,6,6,4,3,0,39,0
SSC50567,Goomalling,Goomalling,6460,45.1901,50,1083,503,155,1240,0.7,823,2,93,41,59,55,61,86,82,46,25,548,8.8
SSC50568,Goomarin,Goomarin,6415,277.8153,41,0,624,0,0,1,1874,0,3,5,0,5,3,0,0,0,0,16,0
SSC50569,Gooseberry Hill,Gooseberry Hill,6076,8.3074,48,2200,750,400,2242,0.7,1863,2.6,541,369,180,352,519,468,486,235,51,3201,6.4
SSC50570,Gorge Rock,Gorge Rock,6375,248.1606,36,0,866,0,3124,0.9,2625,2.5,8,3,7,0,4,4,3,0,0,29,0
SSC50571,Gorrie,Gorrie,6556,26.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50572,Gosnells,Gosnells,6110,15.6203,35,1650,567,310,1371,0.8,1170,2.6,4132,2530,3162,2662,2282,2050,1586,1087,425,19916,12
SSC50573,Gracetown,Gracetown,6284,40.1246,42,1517,729,305,2077,0.8,1333,2.4,50,15,24,43,27,45,22,13,3,242,5
SSC50574,Granville,Granville (WA),6503,43.7698,54,0,824,0,1874,1,887,1,0,0,4,3,8,3,4,0,0,22,0
SSC50575,Grass Patch,Grass Patch,6446,1481.5702,34,0,930,0,1937,0.7,1792,2.9,35,12,14,20,25,10,3,3,0,122,0
SSC50576,Grass Valley,Grass Valley,6403,60.0857,47,1300,554,240,1375,0.7,1166,2.4,30,18,14,18,24,26,25,5,0,160,6
SSC50577,Green Head,Green Head,6514,111.8959,58,1767,450,250,949,0.7,747,2,39,12,17,16,37,62,73,27,3,286,21.3
SSC50578,Green Range,Green Range,6328,469.5946,37,1444,675,113,1624,0.8,1437,2.5,17,6,10,5,13,20,5,0,0,76,0
SSC50579,Green Valley,Green Valley (WA),6330,63.573,52,0,746,255,1625,0.6,1416,2.5,8,3,3,4,7,7,6,3,0,41,0
SSC50580,Greenbushes,Greenbushes,6254,52.358,46,900,418,180,1176,0.7,814,2.1,79,41,33,25,49,65,53,27,7,379,10.4
SSC50581,Greenfields,Greenfields,6210,9.9609,44,1517,479,300,1151,0.7,948,2.4,1768,1146,1086,955,1157,1047,995,1104,359,9617,12.9
SSC50582,Greenhills,Greenhills,6302,66.3855,40,706,743,0,1687,0.8,1562,2.4,18,6,7,7,11,16,10,0,0,75,0
SSC50583,Greenmount,Greenmount (WA),6056,4.8163,45,1950,701,360,1871,0.7,1503,2.6,450,291,304,296,364,356,283,200,106,2650,6.9
SSC50584,Greenough,Greenough,6532,67.5155,46,1626,597,200,1343,0.8,1258,2.5,58,22,20,39,53,41,34,12,3,282,9.8
SSC50585,Greenwood,Greenwood (WA),6024,5.4473,39,2000,767,400,1923,0.7,1688,2.6,1930,918,1216,1387,1240,1117,1114,319,93,9334,7.2
SSC50586,Greenwoods Valley,Greenwoods Valley,6405,123.3321,38,0,1124,0,0,0.5,1875,1,0,3,0,4,0,0,0,0,0,7,0
SSC50587,Gregory,Gregory (WA),6535,0.1149,61,500,425,108,1187,0.9,899,1.6,0,0,7,6,3,30,25,11,0,82,12
SSC50588,Grey,Grey,6521,1.8173,68,0,649,0,0,0.5,649,1,0,0,0,0,0,3,7,0,0,10,0
SSC50589,Greys Plain,Greys Plain,6701,6.8206,22,0,263,60,656,1.4,664,3.7,72,29,20,24,22,15,5,0,0,187,62.9
SSC50590,Grimwade,Grimwade,6253,49.9596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50591,Guilderton,Guilderton,6041,8.6526,59,1950,586,267,1125,0.6,875,1.8,21,22,16,5,24,36,50,15,4,193,6.5
SSC50592,Guildford,Guildford (WA),6055,3.1858,43,2167,749,369,2352,0.8,1868,2.4,355,252,193,246,317,259,189,112,64,1987,6.1
SSC50593,Gundaring,Gundaring,6315,95.5631,40,0,774,0,0,0,0,0,4,0,0,3,0,0,0,0,0,7,0
SSC50594,Gunyidi,Gunyidi,6513,401.8887,43,0,1156,0,2250,0.5,1562,2.3,7,0,8,9,4,9,0,0,0,37,0
SSC50595,Gutha,Gutha,6623,667.7763,26,0,762,0,1312,0.7,1333,3,20,0,12,3,7,5,3,0,0,50,21.7
SSC50596,Gwambygine,Gwambygine,6302,43.312,56,1473,458,0,1187,0.8,1042,2.1,7,6,5,9,15,21,9,9,0,81,12.5
SSC50597,Gwelup,Gwelup,6018,2.9361,41,2500,923,500,2664,0.8,2290,2.8,1029,396,418,690,632,467,457,279,163,4531,5.3
SSC50598,Gwindinup,Gwindinup,6237,15.3182,47,1896,674,0,2083,0.7,1875,2.3,8,0,5,5,4,19,3,0,0,44,0
SSC50599,Hacketts Gully,Hacketts Gully,6076,12.279,44,0,824,0,1624,0.9,1125,2.4,15,3,5,7,7,12,3,0,0,52,0
SSC50600,Halls Creek,Halls Creek (WA),6770,43.9536,29,683,453,100,907,1.2,1230,3,400,251,309,207,193,224,126,26,4,1740,16
SSC50601,Halls Head,Halls Head,6210,10.3796,41,1991,627,360,1800,0.7,1527,2.6,2714,1705,1220,1656,1864,1636,1338,704,256,13093,9.4
SSC50602,Hamel,Hamel,6215,22.2653,45,1517,682,200,1843,0.8,1575,2.8,52,31,32,18,49,43,26,6,0,257,7.4
SSC50603,Hamelin Bay,Hamelin Bay,6288,16.4708,48,1300,469,0,966,1.1,966,2.3,5,9,0,7,13,9,13,0,0,56,16
SSC50604,Hamelin Pool,Hamelin Pool,6532,2033.9797,53,0,900,0,0,1,899,1.2,10,0,10,8,13,48,40,10,0,139,0
SSC50605,Hamersley,Hamersley,6022,3.3065,40,2000,749,400,1891,0.7,1614,2.6,929,493,670,707,577,563,622,262,50,4873,6
SSC50606,Hamersley Range,Hamersley Range,6716,7312.9357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50607,Hamilton Hill,Hamilton Hill,6163,6.6153,40,1860,608,320,1520,0.8,1166,2.3,1616,1085,1584,1463,1386,1160,965,635,300,10194,9.7
SSC50608,Hammond Park,Hammond Park,6164,4.3388,30,2383,1035,420,2322,0.8,2252,3,1345,493,1157,937,464,246,112,32,3,4789,6.2
SSC50609,Hannans,Hannans,6430,3.9565,31,2100,1203,350,2795,0.8,2549,3,726,297,470,376,321,221,68,20,5,2504,3.8
SSC50610,Harris River,Harris River,6225,156.1257,44,2167,695,0,2062,0.8,1437,2.1,26,15,4,14,24,8,7,3,0,101,0
SSC50611,Harrisdale,Harrisdale,6112,5.7747,30,2210,959,420,2223,0.8,2171,3,2359,1070,2162,1560,889,549,242,59,15,8905,7.2
SSC50612,Harrismith,Harrismith,6361,200.816,42,0,820,0,2249,0.8,2124,2.1,13,4,7,5,3,10,14,0,0,56,0
SSC50613,Harvey,Harvey,6220,65.9498,43,1690,579,250,1573,0.8,1167,2.5,599,360,374,420,457,380,365,254,82,3291,6.7
SSC50614,Hastings,Hastings (WA),6308,206.4715,39,0,1312,0,3250,0.9,1937,2.3,8,0,9,7,7,0,6,0,0,37,0
SSC50615,Hatter Hill,Hatter Hill,6356,1594.7262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50616,Hay,Hay (WA),6333,94.2572,52,1733,744,320,1766,0.7,1328,2.3,59,14,22,29,59,60,54,26,0,323,4.2
SSC50617,Haynes,Haynes,6112,4.7541,28,2200,896,385,1825,0.8,1781,3,203,91,206,114,54,30,19,9,0,726,5.7
SSC50618,Hazelmere,Hazelmere,6055,10.6381,49,1733,529,300,1559,0.8,966,2.2,109,120,55,97,132,130,124,75,28,870,8.7
SSC50619,Hazelvale,Hazelvale,6333,52.9166,59,1060,591,0,1312,0.7,1100,2.1,6,3,3,3,12,21,20,3,0,71,0
SSC50620,Heathridge,Heathridge,6027,3.7995,34,1919,742,380,1836,0.7,1584,2.5,1266,809,1224,1012,796,765,432,177,48,6529,7.4
SSC50621,Helena Valley,Helena Valley,6056,7.0921,40,2167,758,387,2141,0.7,1905,2.7,667,472,444,416,548,469,365,171,30,3582,6.5
SSC50622,Henderson,Henderson,6166,8.7396,61,0,449,0,0,1,649,1,0,0,0,0,3,5,8,0,0,16,0
SSC50623,Henley Brook,Henley Brook,6055,12.8209,39,2070,759,381,2137,0.8,2030,3,525,346,256,343,402,326,193,68,10,2469,7.7
SSC50624,Henty,Henty (WA),6236,39.453,50,2194,693,350,2166,0.7,1875,2.6,29,19,10,21,29,32,14,7,3,164,3.8
SSC50625,Herdsman,Herdsman,6017,3.0248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50626,Herne Hill,Herne Hill (WA),6056,17.2584,45,1908,642,335,1740,0.8,1434,2.7,248,171,172,138,220,231,190,89,29,1488,7.1
SSC50627,Herron,Herron,6211,18.2634,46,2167,521,250,1392,0.8,1347,2.5,57,60,21,46,82,72,56,22,0,416,13.4
SSC50628,Hester,Hester,6255,23.5942,41,1694,409,250,1208,0.7,849,2.1,18,6,9,7,20,12,12,3,0,87,19
SSC50629,Hester Brook,Hester Brook,6255,51.6405,53,1786,682,0,1474,0.8,1375,2.2,17,6,3,9,19,20,19,5,0,98,12.5
SSC50630,Higginsville,Higginsville,6443,1024.6115,33,0,1981,0,0,0,0,0,0,9,58,25,40,18,0,0,0,150,0
SSC50631,High Wycombe,High Wycombe,6057,10.4688,35,1950,759,390,1831,0.7,1585,2.6,2479,1538,1847,1670,1608,1290,946,495,123,11996,8
SSC50632,Highbury,Highbury (WA),6313,542.3908,46,1083,707,110,1805,0.7,1216,2.4,47,21,26,31,46,51,41,14,0,277,6.2
SSC50633,Highgate,Highgate (WA),6003,0.3873,33,2100,1028,380,2296,1,1765,1.9,180,227,797,362,219,214,129,56,22,2206,6.6
SSC50634,Hilbert,Hilbert,6112,9.1863,30,1950,869,380,1857,0.8,1746,2.9,410,195,316,238,180,116,48,14,0,1517,8.5
SSC50635,Hill River,Hill River (WA),6521,623.2534,46,1083,768,0,1812,0.6,1458,2.4,12,7,19,8,13,19,15,6,0,99,0
SSC50636,Hillarys,Hillarys,6025,6.2522,42,2383,847,490,2563,0.7,2283,2.9,2095,1511,852,1345,1700,1581,1021,373,119,10597,6.5
SSC50637,Hillman,Hillman,6168,1.2173,40,1473,535,320,1377,0.7,1229,2.6,351,214,222,233,198,250,202,92,24,1786,14.5
SSC50638,Hillside,Hillside (WA),6312,41.6806,47,2864,833,82,1562,0.8,1541,2.2,15,0,8,6,6,5,11,9,0,60,0
SSC50639,Hilton,Hilton (WA),6163,1.719,38,2000,692,285,1837,0.8,1406,2.3,713,381,601,578,550,396,270,215,162,3866,8.1
SSC50640,Hindmarsh,Hindmarsh (WA),6462,284.5816,39,0,725,0,2999,0.4,1625,2.7,10,4,0,3,8,10,3,0,0,38,22.2
SSC50641,Hines Hill,Hines Hill,6413,238.0088,55,0,574,100,1625,0.6,900,2,7,0,3,10,3,13,9,3,0,48,0
SSC50642,Hithergreen,Hithergreen,6280,24.0727,46,2058,537,305,1625,0.7,762,2.8,9,10,6,8,9,6,8,0,0,56,0
SSC50643,Hocking,Hocking,6065,2.4273,33,2167,825,400,2131,0.8,1977,2.9,1480,688,887,1047,732,540,286,102,19,5781,6.6
SSC50644,Hoddys Well,Hoddys Well,6566,76.9119,53,1733,816,160,1906,0.6,1375,1.9,6,11,5,10,22,29,17,7,3,110,4.7
SSC50645,Hoffman,Hoffman,6220,442.8501,45,0,725,0,1375,0.8,1375,2.9,4,6,8,3,11,0,6,5,0,43,17.6
SSC50646,Holleton,Holleton,6426,392.7116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50647,Holmwood,Holmwood,6522,237.2404,29,0,956,0,2250,0.5,2125,1.5,6,6,3,3,6,10,7,0,0,41,0
SSC50648,Holt Rock,Holt Rock,6355,778.9493,38,0,1062,0,1749,0.9,1312,2.8,9,0,3,13,7,3,3,0,0,38,0
SSC50649,Holyoake,Holyoake,6213,53.4473,56,0,624,0,2750,0.5,1199,1.5,0,0,0,0,8,4,0,0,0,12,0
SSC50650,Hope Valley,Hope Valley (WA),6165,13.2244,47,1700,593,250,1875,0.6,1937,2,4,15,9,3,11,6,6,3,0,57,0
SSC50651,Hopeland,Hopeland (WA),6125,51.3906,45,1960,690,310,1899,0.8,1784,2.9,49,36,33,40,48,54,35,17,7,319,9.9
SSC50652,Hopetoun,Hopetoun (WA),6348,538.349,49,1300,562,250,1517,0.7,1045,2.1,152,36,96,102,94,127,142,48,11,808,9
SSC50653,Horrocks,Horrocks,6535,1.3525,57,1200,695,150,1524,0.7,1208,1.8,17,4,20,19,21,36,38,7,0,162,6.2
SSC50654,Houtman Abrolhos,Houtman Abrolhos,6530,17.4146,60,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,0
SSC50655,Hovea,Hovea,6071,31.563,49,2167,778,400,2284,0.7,1989,2.7,84,78,26,62,117,106,84,36,9,602,6.7
SSC50656,Howatharra,Howatharra,6532,89.9881,50,1961,784,238,1625,0.8,1281,2.4,24,13,3,19,26,26,17,6,4,138,9.4
SSC50657,Howick,Howick (WA),6450,1140.7346,30,0,825,0,1791,0.7,1625,2.1,20,6,6,15,11,6,0,0,0,64,0
SSC50658,Hulongine,Hulongine,6460,128.1676,43,2620,949,0,2416,0.7,2333,2.4,4,3,3,5,6,4,3,0,0,28,0
SSC50659,Huntingdale,Huntingdale (WA),6110,4.7942,33,1800,682,370,1774,0.8,1617,3,1956,1196,1395,1241,1104,857,527,186,62,8524,9.5
SSC50660,Hyden,Hyden,6359,2018.0114,41,1100,784,120,1550,0.8,1353,2.5,84,18,54,56,56,42,57,32,0,399,1.4
SSC50661,Ikewa,Ikewa,6522,147.9381,27,0,706,0,1999,1,1999,3,9,4,0,11,7,0,0,0,0,31,0
SSC50662,Iluka,Iluka (WA),6028,2.5205,42,2600,853,650,2906,0.8,2796,3.2,1074,875,289,636,1129,712,304,130,20,5169,6.1
SSC50663,Indee,Indee,6721,1623.9778,45,0,2192,0,0,0,0,0,0,4,21,30,52,36,8,3,0,154,0
SSC50664,Inggarda,Inggarda,6701,7356.0828,56,0,474,0,0,1,399,2,0,0,4,0,3,13,6,6,0,32,0
SSC50665,Inglehope,Inglehope,6213,55.0733,34,1484,487,0,1375,1.2,1374,3,7,8,4,3,3,3,7,0,0,35,16.7
SSC50666,Inglewood,Inglewood (WA),6052,2.8771,38,2167,905,340,2470,0.9,1832,2.3,925,643,880,844,834,682,380,223,121,5532,6.2
SSC50667,Inkpen,Inkpen,6302,79.2805,60,0,450,200,1062,0,949,1.4,3,3,0,0,5,3,7,3,0,24,0
SSC50668,Innaloo,Innaloo,6018,3.1826,35,2167,926,410,2177,0.7,1640,2.1,958,813,2166,1121,856,753,588,427,307,7989,6.3
SSC50669,Innawanga,Innawanga,6751,15239.7815,37,0,725,0,0,0,0,0,0,10,7,5,13,4,0,0,0,39,0
SSC50670,Irishtown,Irishtown (WA),6401,54.3977,58,1000,662,0,1416,0.6,1125,2,8,3,11,4,9,20,14,4,0,73,0
SSC50671,Irwin,Irwin,6525,5.5496,40,1300,487,150,1292,1,1031,1.8,11,4,11,12,6,17,13,3,0,77,0
SSC50672,Israelite Bay,Israelite Bay,6452,2103.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50673,Isseka,Isseka,6535,3.1655,38,1733,680,185,1437,1,1125,2.5,18,0,5,7,10,3,7,0,0,50,14.3
SSC50674,Jackitup,Jackitup,6335,433.6502,43,0,575,46,1375,0.6,1374,1.9,14,3,4,14,10,11,3,0,0,59,0
SSC50675,Jacup,Jacup,6337,696.8034,27,0,924,0,1656,0.9,1458,3.7,23,6,9,9,0,8,0,4,0,59,0
SSC50676,Jalbarragup,Jalbarragup,6275,264.4623,60,1811,469,283,1021,0.7,871,2,10,3,6,8,20,31,34,5,0,117,24.4
SSC50677,Jaloran,Jaloran,6315,199.5257,32,0,619,0,1875,0.8,1749,5,11,0,0,8,4,0,3,0,0,26,0
SSC50678,Jandabup,Jandabup,6077,18.6465,47,1967,697,380,1763,0.7,1562,2.7,49,37,26,30,50,51,50,12,3,308,6.2
SSC50679,Jandakot,Jandakot,6164,16.1727,41,2167,719,450,2282,0.7,2173,2.9,422,463,265,262,383,402,292,71,19,2579,6.1
SSC50680,Jane Brook,Jane Brook,6056,5.2272,36,2080,841,450,2166,0.7,2061,3,724,556,388,460,598,352,208,85,15,3386,6
SSC50681,Jardee,Jardee,6258,40.8423,45,1192,696,155,1550,0.7,1079,2.1,31,14,19,15,28,25,20,3,0,155,0
SSC50682,Jarrahdale,Jarrahdale,6124,256.3869,42,1950,720,300,1927,0.8,1719,2.7,256,120,109,139,231,147,108,41,9,1160,8.1
SSC50683,Jarrahwood,Jarrahwood,6275,0.9937,49,0,350,0,724,0.6,574,1.7,3,0,0,3,5,4,4,3,0,22,0
SSC50684,Jelcobine,Jelcobine,6306,520.7812,50,1192,814,100,1625,0.8,1395,2.6,31,3,8,23,24,22,42,10,0,163,3.6
SSC50685,Jennacubbine,Jennacubbine,6401,71.3847,45,1664,550,0,1625,1.1,1062,2.5,10,3,3,7,17,6,3,7,0,56,0
SSC50686,Jennapullin,Jennapullin,6401,105.3883,38,0,662,0,1125,0.6,1125,2.8,17,9,6,11,10,13,3,0,0,69,0
SSC50687,Jerdacuttup,Jerdacuttup,6346,1188.4105,42,0,1266,177,900,0.8,1031,2.5,17,27,66,69,66,40,17,4,5,311,0
SSC50688,Jerramungup,Jerramungup,6337,1072.1776,36,1100,848,126,1859,0.7,1463,2.5,82,33,52,50,53,50,30,13,3,366,4.4
SSC50689,Jibberding,Jibberding,6612,1054.0388,34,0,774,0,1374,0.8,1374,2.7,10,0,3,9,3,3,0,3,3,34,0
SSC50690,Jilakin,Jilakin,6365,589.9454,46,0,674,0,1624,0.7,1375,3,7,3,10,5,8,7,11,0,0,51,12
SSC50691,Jindalee,Jindalee (WA),6036,3.6792,32,2700,902,400,2400,0.8,2290,3.1,600,403,338,348,455,224,84,23,3,2478,6.9
SSC50692,Jindong,Jindong,6280,22.3936,35,1733,817,125,1875,0.7,1625,2.4,22,10,8,10,9,12,3,0,0,74,0
SSC50693,Jingalup,Jingalup,6395,394.9822,44,1300,1029,150,1924,0.6,1775,2.3,27,0,12,19,20,19,15,4,0,116,4.6
SSC50694,Jitarning,Jitarning,6365,440.3814,54,450,919,0,1958,0.6,1812,1.7,0,3,4,4,9,13,4,0,0,37,0
SSC50695,Jolimont,Jolimont,6014,0.7481,54,2167,831,340,1958,0.8,1185,1.8,115,124,194,131,124,114,157,220,163,1342,5.1
SSC50696,Joondalup,Joondalup,6027,10.6789,34,1940,696,390,1910,0.8,1584,2.5,1248,1725,1693,1057,1249,1056,655,385,228,9296,10.5
SSC50697,Joondanna,Joondanna,6060,1.4503,36,2000,915,340,2155,0.8,1497,2,657,369,1204,765,554,443,313,229,162,4696,6.6
SSC50698,Julimar,Julimar,6567,276.4776,52,1794,536,325,1542,0.7,1259,2.1,49,24,14,31,66,64,59,20,3,330,5.8
SSC50699,Juna Downs,Juna Downs,6751,2141.8665,38,0,2869,0,0,0,0,0,0,32,185,203,170,82,6,0,0,678,1.6
SSC50700,Jurien Bay,Jurien Bay,6516,525.8873,48,1863,596,300,1367,0.7,1123,2.2,284,118,183,203,240,316,281,118,26,1769,5.9
SSC50701,Kadathinni,Kadathinni,6519,706.8268,34,0,860,0,1124,0.9,949,2.4,16,0,3,7,9,6,3,0,0,44,0
SSC50702,Kalamunda,Kalamunda,6076,10.5867,47,2167,676,350,1972,0.7,1509,2.5,1060,800,497,766,973,896,928,602,207,6729,6.3
SSC50703,Kalannie,Kalannie,6468,710.6967,38,934,718,173,1531,0.6,1312,2.6,35,19,21,34,22,21,13,6,0,171,7.4
SSC50704,Kalbarri,Kalbarri,6536,139.3204,51,1628,535,230,1312,0.8,902,2.1,286,138,206,191,317,515,673,247,32,2605,6
SSC50705,Kalbarri National Park,Kalbarri National Park,6536,1806.3249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50706,Kalgan,Kalgan,6330,245.1017,42,2059,566,130,1636,0.8,1365,2.5,174,143,47,70,114,122,110,13,6,799,5.6
SSC50707,Kalgoorlie,Kalgoorlie,6430,4.0398,33,1733,950,285,2263,0.8,1924,2.4,660,588,892,578,594,456,256,128,40,4192,5.7
SSC50708,Kalgup,Kalgup,6280,16.5335,46,3117,715,0,1749,0.7,1458,3.1,18,5,3,9,14,11,3,0,0,63,0
SSC50709,Kallaroo,Kallaroo,6025,2.9248,43,2167,773,430,2238,0.7,1938,2.7,920,687,456,600,794,681,601,199,111,5049,5.7
SSC50710,Kaloorup,Kaloorup,6280,45.0386,46,2469,1021,162,2374,0.7,2166,2.6,12,0,5,8,13,16,0,3,0,57,0
SSC50711,Kalumburu,Kalumburu,6740,4.0475,24,0,286,80,780,1.4,1020,4.2,129,97,79,62,46,33,14,0,3,463,40.5
SSC50712,Kambalda East,Kambalda East,6442,101.748,33,953,882,180,2129,0.8,1952,2.5,151,115,294,220,208,118,32,8,0,1146,9.8
SSC50713,Kambalda West,Kambalda West,6442,124.0635,31,1299,865,200,2283,0.8,2071,2.6,467,226,284,235,264,159,89,23,3,1750,7.4
SSC50714,Kangaroo Gully,Kangaroo Gully,6255,51.3,52,1509,535,320,1384,0.7,1286,2.5,79,21,21,48,57,82,81,19,5,413,2.7
SSC50715,Kanowna,Kanowna,6431,2721.7289,42,0,1375,0,0,0,0,0,0,0,0,3,3,6,0,0,0,12,0
SSC50716,Karakin,Karakin,6044,141.3139,54,2400,535,350,988,0.7,935,2.4,33,11,6,27,26,56,39,7,0,205,8.9
SSC50717,Karalundi,Karalundi,NOT FOUND,2.1225,26,0,817,100,1312,1.3,1166,1.9,20,16,13,9,4,7,12,0,0,81,13.3
SSC50718,Karawara,Karawara,6152,0.9885,27,2167,361,305,1618,0.8,1276,2.8,241,709,339,202,188,198,131,50,15,2073,18.7
SSC50719,Kardinya,Kardinya,6163,4.3831,41,1975,676,400,1981,0.7,1667,2.6,1204,1307,1180,989,1142,1280,851,428,150,8531,7.6
SSC50720,Karijini,Karijini,6751,6344.7775,54,0,1083,254,1999,1.4,725,1.4,41,16,53,36,84,136,110,28,0,504,0
SSC50721,Karlgarin,Karlgarin,6358,1051.1574,47,542,812,0,1875,0.6,1625,1.8,15,3,10,11,16,20,13,4,0,92,0
SSC50722,Karlkurla,Karlkurla,6430,40.8775,30,2600,1638,480,3333,0.6,3166,2.4,48,21,43,12,27,21,6,0,0,178,7.6
SSC50723,Karloning,Karloning,6479,213.7976,55,0,1031,0,2083,0.6,1749,2,5,0,0,4,5,9,3,5,0,31,0
SSC50724,Karloo,Karloo,6530,4.0277,29,1181,464,200,1208,0.9,933,2.9,170,82,68,79,59,75,33,3,0,569,23.2
SSC50725,Karnup,Karnup,6176,32.2106,30,2115,777,360,1958,0.7,1802,2.9,293,239,238,166,162,136,81,32,8,1355,6.4
SSC50726,Karragullen,Karragullen,6111,36.2911,42,2000,733,200,2095,0.8,2054,3,79,47,40,44,61,55,46,23,0,395,6.8
SSC50727,Karrakatta,Karrakatta,6010,1.8775,25,0,1062,0,0,0,0,0,0,3,3,0,6,4,0,0,0,16,0
SSC50728,Karrakup,Karrakup,6122,82.8538,42,2500,638,225,2041,0.7,1812,3.1,39,25,11,27,31,18,19,10,3,183,6.8
SSC50729,Karramindie,Karramindie,6429,737.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50730,Karranadgin,Karranadgin,6460,406.952,33,1142,900,205,1792,0.7,1625,3.3,27,0,13,8,9,12,3,0,0,72,0
SSC50731,Karratha,Karratha,6714,0.4877,39,0,1625,300,0,1,1187,1,13,13,23,26,31,29,10,9,0,154,0
SSC50732,Karratha Industrial Estate,Karratha Industrial Estate,6714,11.7861,43,0,1451,100,1937,1.2,1687,1.4,4,26,143,132,173,91,52,7,4,632,3.7
SSC50733,Karridale,Karridale,6288,98.6536,45,1733,691,209,1390,0.8,1125,2.3,63,16,12,44,55,52,26,6,5,279,2.9
SSC50734,Karrinyup,Karrinyup,6018,6.4714,39,2462,828,420,2463,0.8,2102,2.7,1989,1059,974,1298,1245,922,791,541,213,9032,5.4
SSC50735,Karroun Hill,Karroun Hill,6472,2814.0675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50736,Katanning,Katanning,6317,135.9419,40,1109,663,180,1378,0.8,1178,2.5,722,442,456,440,492,475,318,220,87,3652,6.4
SSC50737,Katrine,Katrine,6566,83.3357,44,1867,450,0,1249,0.6,762,2,8,5,0,9,7,3,4,3,0,39,0
SSC50738,Kauring,Kauring,6302,79.5434,48,1824,479,0,1166,0.7,687,2,12,6,8,6,10,16,10,3,0,71,7.5
SSC50739,Kealy,Kealy,6280,6.4534,28,2165,864,420,1841,0.7,1678,2.8,105,57,87,57,26,30,9,0,3,374,6.5
SSC50740,Kebaringup,Kebaringup,6335,195.3651,43,0,949,0,1937,0.5,1875,2.4,6,3,4,3,3,3,4,3,0,29,0
SSC50741,Kellerberrin,Kellerberrin,6410,304.9599,48,867,484,118,1182,0.8,924,2.3,177,81,93,92,150,120,111,88,43,955,5.8
SSC50742,Kelmscott,Kelmscott,6111,14.9422,38,1650,608,310,1482,0.7,1264,2.5,1926,1296,1427,1328,1350,1245,1000,488,218,10278,10
SSC50743,Kendenup,Kendenup,6323,388.3289,51,1229,479,160,1180,0.7,921,2.2,149,79,56,95,152,176,169,66,3,945,9.6
SSC50744,Kenmare,Kenmare (WA),6316,211.5526,46,0,1274,0,1687,0.6,1687,3.3,3,0,7,3,3,7,0,0,0,23,0
SSC50745,Kennedy Range,Kennedy Range,6701,4103.0288,15,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0
SSC50746,Kensington,Kensington (WA),6151,2.5797,36,2450,891,375,2888,0.9,2246,2.7,1005,604,537,680,692,488,298,110,79,4493,6.2
SSC50747,Kentdale,Kentdale,6333,65.3375,54,1160,442,80,966,0.7,739,1.9,13,7,4,9,7,23,14,6,3,86,0
SSC50748,Kenwick,Kenwick,6107,9.8719,33,1659,603,340,1474,0.8,1351,2.8,1149,776,1038,805,710,572,402,165,40,5657,10.4
SSC50749,Keralup,Keralup,6182,22.0186,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
